player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
PJ Hughes,Harare Sports Club,161,201,18.0,4,batter,80.1,,
NR Kirton,Dubai International Cricket Stadium,138,211,11.0,3,batter,65.4,,
LS Livingstone,Sophia Gardens,0,1,0.0,1,batter,0.0,,
JP Faulkner,M Chinnaswamy Stadium,101,78,,2,bowler,,1.0,7.77
JJ Bumrah,Hagley Oval,14,19,2.0,1,batter,73.68,,
UDU Chandana,Rawalpindi Cricket Stadium,7,19,1.0,1,batter,36.84,,
SR Harmer,Newlands,153,300,,1,bowler,,7.0,3.06
DM de Silva,Pallekele International Cricket Stadium,454,690,,14,bowler,,9.0,3.95
AJ Jabiri,"Gahanga International Cricket Stadium, Rwanda",87,130,10.0,9,batter,66.92,,
N Dickwella,JSCA International Stadium Complex,4,10,0.0,1,batter,40.0,,
J Botha,Sydney Cricket Ground,24,49,3.0,2,batter,48.98,,
BAW Mendis,Gaddafi Stadium,87,165,,4,bowler,,6.0,3.16
MJ North,Kingsmead,42,144,,1,bowler,,1.0,1.75
MM Ali,"Kensington Oval, Barbados",12,23,0.0,2,batter,52.17,,
Imran Tahir,Wankhede Stadium,78,66,,2,bowler,,3.0,7.09
Mushfiqur Rahim,Castle Avenue,67,58,9.0,2,batter,115.52,,
L Ngidi,"Buffalo Park, East London",76,60,,1,bowler,,0.0,7.6
Ashiqullah Said,Pierre Werner Cricket Ground,48,72,,3,bowler,,4.0,4.0
Elias Hasan,Tikkurila Cricket Ground,23,24,,1,bowler,,0.0,5.75
C de Grandhomme,"Basin Reserve, Wellington",59,156,,1,bowler,,1.0,2.27
Wahab Riaz,"Punjab Cricket Association Stadium, Mohali",46,60,,1,bowler,,5.0,4.6
Shoaib Malik,Eden Park,47,78,,2,bowler,,3.0,3.62
HE van der Dussen,Boland Park,25,29,0.0,1,batter,86.21,,
Mohammad Sami,VRA Cricket Ground,29,30,,1,bowler,,0.0,5.8
JJ Roy,County Ground,215,142,33.0,5,batter,151.41,,
Mohammad Mithun,Hagley Oval,12,12,,1,bowler,,0.0,6.0
SR Tendulkar,Multan Cricket Stadium,0,3,0.0,1,batter,0.0,,
SR Clark,The Wanderers Stadium,145,276,,1,bowler,,7.0,3.15
Farhad Reza,"Punjab Cricket Association Stadium, Mohali",34,31,5.0,1,batter,109.68,,
G Mckeon,"Moara Vlasiei Cricket Ground, Ilfov County",45,42,7.0,3,batter,107.14,,
NM Lyon,Adelaide Oval,216,330,24.0,13,batter,65.45,,
AM Kimote,"Gahanga International Cricket Stadium, Rwanda",136,123,14.0,17,batter,110.57,,
N Tanner,"Yeonhui Cricket Ground, Incheon",116,141,6.0,7,batter,82.27,,
C Karunaratne,Sharjah Cricket Stadium,59,54,,4,bowler,,1.0,6.56
Faheem Ashraf,"Sinhalese Sports Club Ground, Colombo",16,12,,1,bowler,,0.0,8.0
Hasan Ali,"Providence Stadium, Guyana",36,30,,2,bowler,,1.0,7.2
CJ Dala,Pallekele International Cricket Stadium,3,3,0.0,1,batter,100.0,,
Shakib Al Hasan,"Eden Gardens, Kolkata",48,78,4.0,2,batter,61.54,,
R Ashwin,Sinhalese Sports Club Ground,117,193,14.0,2,batter,60.62,,
M Muralitharan,National Stadium,20,17,2.0,4,batter,117.65,,
Inzamam-ul-Haq,Newlands,73,162,5.0,2,batter,45.06,,
Mohammad Rizwan,"Eden Park, Auckland",25,14,4.0,1,batter,178.57,,
OF Smith,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",63,36,,2,bowler,,3.0,10.5
CH Gayle,Galle International Stadium,329,435,42.0,1,batter,75.63,,
BA King,"National Stadium, Karachi",111,66,18.0,3,batter,168.18,,
IK Pathan,Shere Bangla National Stadium,46,52,3.0,2,batter,88.46,,
AN Cook,"Queen's Park Oval, Port of Spain",36,62,2.0,1,batter,58.06,,
UT Khawaja,Sydney Cricket Ground,1000,1926,102.0,12,batter,51.92,,
Fawad Alam,Maple Leaf North-West Ground,29,24,,2,bowler,,2.0,7.25
NJ Astle,Eden Park,132,173,,4,bowler,,3.0,4.58
CS Baugh,Sinhalese Sports Club Ground,77,92,5.0,2,batter,83.7,,
GD Elliott,R Premadasa Stadium,63,115,2.0,2,batter,54.78,,
Mahedi Hasan,Seddon Park,37,24,,1,bowler,,1.0,9.25
DBL Powell,"Warner Park, Basseterre",10,25,1.0,1,batter,40.0,,
LMP Simmons,Melbourne Cricket Ground,58,106,5.0,2,batter,54.72,,
Karan KC,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),21,12,,1,bowler,,2.0,10.5
SK Raina,"Vidarbha Cricket Association Stadium, Jamtha",78,90,,6,bowler,,3.0,5.2
Mukesh Kumar,"St George's Park, Gqeberha",80,66,,2,bowler,,2.0,7.27
IE O'Brien,Kennington Oval,16,6,,1,bowler,,0.0,16.0
Shakib Al Hasan,Edgbaston,87,116,7.0,3,batter,75.0,,
TM Dilshan,Barabati Stadium,19,18,,1,bowler,,0.0,6.33
BKG Mendis,"Grand Prairie Stadium, Dallas",10,8,2.0,1,batter,125.0,,
NT Paranavitana,Galle International Stadium,8,12,,1,bowler,,0.0,4.0
AD Russell,"Sir Vivian Richards Stadium, North Sound, Antigua",15,9,2.0,1,batter,166.67,,
A Nehra,"Newlands, Cape Town",30,60,,1,bowler,,0.0,3.0
Abhishek Sharma,Harare Sports Club,124,71,18.0,4,batter,174.65,,
DW Steyn,Kingsmead,253,592,33.0,13,batter,42.74,,
CM Wright,Titwood,37,34,3.0,1,batter,108.82,,
SJ Modani,"Wanderers Cricket Ground, Windhoek",163,309,12.0,7,batter,52.75,,
Mohammad Rafique,P Sara Oval,226,347,,2,bowler,,0.0,3.91
AM Fernando,"County Ground, Bristol",0,5,0.0,1,batter,0.0,,
PVD Chameera,Galle International Stadium,3,12,0.0,1,batter,25.0,,
Shakib Al Hasan,"Beausejour Stadium, Gros Islet",27,24,,1,bowler,,2.0,6.75
VD Philander,St George's Park,390,857,,6,bowler,,14.0,2.73
LRPL Taylor,McLean Park,1087,1302,139.0,18,batter,83.49,,
TC Barker,Roma Cricket Ground,115,101,17.0,4,batter,113.86,,
T Rossi,"Jimmy Powell Oval, Cayman Islands",119,77,13.0,6,batter,154.55,,
SC Ganguly,National Stadium,70,106,12.0,1,batter,66.04,,
Muhammad Jabir,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,1,0.0,1,batter,0.0,,
DJ Bravo,Daren Sammy National Cricket Stadium,33,42,3.0,1,batter,78.57,,
Mohammad Asif,Sheikh Zayed Stadium,81,108,,2,bowler,,1.0,4.5
MJ Santner,Riverside Ground,14,36,1.0,2,batter,38.89,,
Hasan Mahmud,"Brisbane Cricket Ground, Woolloongabba, Brisbane",36,24,,1,bowler,,0.0,9.0
AY Patel,"Basin Reserve, Wellington",6,21,0.0,1,batter,28.57,,
SJ Harmison,Providence Stadium,18,18,0.0,1,batter,100.0,,
C de Grandhomme,Kennington Oval,15,13,2.0,1,batter,115.38,,
JC Buttler,Eden Park,31,19,4.0,2,batter,163.16,,
Shaheen Shah Afridi,Eden Park,10,5,1.0,1,batter,200.0,,
DAJ Bracewell,Eden Park,94,60,,3,bowler,,2.0,9.4
CK Langeveldt,"Kensington Oval, Bridgetown",111,90,,3,bowler,,5.0,7.4
U Bhagwan,Prairie View Cricket Complex,119,72,,4,bowler,,2.0,9.92
Hasan Ali,Old Trafford,108,78,,2,bowler,,3.0,8.31
MN Samuels,Manuka Oval,59,54,,1,bowler,,1.0,6.56
JC Archer,"Mangaung Oval, Bloemfontein",81,60,,1,bowler,,1.0,8.1
J Baguma,Harare Sports Club,0,1,0.0,1,batter,0.0,,
Shoriful Islam,"Maharashtra Cricket Association Stadium, Pune",7,3,1.0,1,batter,233.33,,
Mohammad Rizwan,"Narendra Modi Stadium, Ahmedabad",49,69,7.0,1,batter,71.01,,
RR Hendricks,Newlands,195,169,24.0,8,batter,115.38,,
HB Shipley,"National Stadium, Karachi",10,14,0.0,3,batter,71.43,,
SD Parry,"Kensington Oval, Bridgetown",49,36,,2,bowler,,0.0,8.17
BD Glover,Sharjah Cricket Stadium,12,18,,1,bowler,,1.0,4.0
A Dananjaya,Newlands,11,8,2.0,2,batter,137.5,,
KK Jennings,Trent Bridge,36,89,5.0,2,batter,40.45,,
JE Root,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",10,12,,1,bowler,,0.0,5.0
J Da Silva,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",45,209,4.0,3,batter,21.53,,
RA Jadeja,"Barsapara Cricket Stadium, Guwahati",60,105,6.0,1,batter,57.14,,
CS MacLeod,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",81,81,9.0,5,batter,100.0,,
DA Miller,"Punjab Cricket Association IS Bindra Stadium, Mohali",18,15,1.0,1,batter,120.0,,
MF Maharoof,National Stadium,116,123,,3,bowler,,1.0,5.66
RG Sharma,"Sardar Patel Stadium, Motera",147,161,15.0,3,batter,91.3,,
R Ashwin,Eden Park,65,46,9.0,1,batter,141.3,,
JDP Oram,Brisbane Cricket Ground,134,200,16.0,1,batter,67.0,,
MDK Perera,Hagley Oval,22,66,3.0,1,batter,33.33,,
Junaid Khan,Happy Valley Ground,0,1,0.0,1,batter,0.0,,
HAPW Jayawardene,Sheikh Zayed Stadium,188,457,20.0,2,batter,41.14,,
RJ Harris,McLean Park,57,60,,1,bowler,,1.0,5.7
AJ Hall,"St Lawrence Ground, Canterbury",50,50,5.0,1,batter,100.0,,
Anamul Haque,Sheikh Abu Naser Stadium,161,207,22.0,2,batter,77.78,,
M Vijay,Reliance Stadium,30,50,4.0,1,batter,60.0,,
L Ronchi,Bay Oval,214,197,25.0,4,batter,108.63,,
US Hathinjar,Udayana Cricket Ground,44,30,,2,bowler,,3.0,8.8
BA Stokes,"Daren Sammy National Cricket Stadium, St Lucia",123,247,12.0,1,batter,49.8,,
M van Lingen,"GMHBA Stadium, South Geelong, Victoria",33,33,4.0,3,batter,100.0,,
DJ Bravo,"MA Chidambaram Stadium, Chepauk",4,6,1.0,1,batter,66.67,,
Jasdeep Singh,"Wanderers Cricket Ground, Windhoek",358,444,,11,bowler,,15.0,4.84
SJ Harmison,Old Trafford,275,511,,3,bowler,,19.0,3.23
MJ Mason,Sydney Cricket Ground,4,7,0.0,1,batter,57.14,,
Sabbir Rahman,Malahide,35,37,4.0,2,batter,94.59,,
AJ Hall,Green Park,93,154,,1,bowler,,3.0,3.62
SM Nash,"Faleata Oval No 2, Apia",105,96,,6,bowler,,4.0,6.56
NA Greenwood,Bayer Uerdingen Cricket Ground,45,78,,4,bowler,,9.0,3.46
Mahmudullah,"National Cricket Stadium, St George's",148,252,,3,bowler,,6.0,3.52
KA Maharaj,The Rose Bowl,72,60,,1,bowler,,1.0,7.2
DBL Powell,Riverside Ground,5,15,1.0,1,batter,33.33,,
Yasim Murtaza,Bulawayo Athletic Club,59,60,,3,bowler,,4.0,5.9
RAS Lakmal,"Shere Bangla National Stadium, Mirpur",33,74,4.0,4,batter,44.59,,
S Prasanna,Gaddafi Stadium,16,8,2.0,1,batter,200.0,,
GT Taylor,"Hurlingham Club Ground, Buenos Aires",0,3,0.0,2,batter,0.0,,
T van der Gugten,Himachal Pradesh Cricket Association Stadium,38,30,,2,bowler,,4.0,7.6
JW Hastings,M Chinnaswamy Stadium,3,4,0.0,1,batter,75.0,,
Mohammad Yousuf,Basin Reserve,83,202,7.0,1,batter,41.09,,
M Shumba,Rawalpindi Cricket Stadium,28,12,,1,bowler,,1.0,14.0
E Chigumbura,"Queen's Park Oval, Port of Spain",31,31,3.0,2,batter,100.0,,
JR Hazlewood,Dubai International Cricket Stadium,117,96,,5,bowler,,5.0,7.31
K Rabada,Rawalpindi Cricket Stadium,71,72,8.0,2,batter,98.61,,
RD Berrington,Queens Sports Club,84,97,7.0,2,batter,86.6,,
Fayyaz Butt,"ICC Academy, Dubai",9,7,1.0,1,batter,128.57,,
DE Bollinger,Sydney Cricket Ground,9,25,2.0,2,batter,36.0,,
DJG Sammy,"National Cricket Stadium, St George's",138,240,,3,bowler,,7.0,3.45
R Abdulkareem,"Tafawa Balewa Square Cricket Oval, Lagos",62,75,6.0,5,batter,82.67,,
EJG Morgan,Newlands,35,54,3.0,5,batter,64.81,,
RP Arnold,Harare Sports Club,21,24,,1,bowler,,2.0,5.25
Subashis Roy,Mangaung Oval,118,174,,1,bowler,,3.0,4.07
JR Hazlewood,"Sabina Park, Kingston",56,155,,1,bowler,,7.0,2.17
JS Patel,Brabourne Stadium,43,73,,2,bowler,,5.0,3.53
G Onions,SuperSport Park,235,366,,3,bowler,,5.0,3.85
A Dutt,"Sportpark Maarschalkerweerd, Utrecht",22,12,,1,bowler,,1.0,11.0
S Dhawan,The Rose Bowl,91,196,14.0,3,batter,46.43,,
K Rabada,"Hagley Oval, Christchurch",53,60,9.0,2,batter,88.33,,
Ishan Kishan,"Shaheed Veer Narayan Singh International Stadium, Raipur",80,40,16.0,2,batter,200.0,,
JO Holder,Himachal Pradesh Cricket Association Stadium,11,8,1.0,1,batter,137.5,,
Ehsan Khan,"West End Park International Cricket Stadium, Doha",4,6,0.0,2,batter,66.67,,
TL Best,Edgbaston,95,112,15.0,1,batter,84.82,,
HR Walsh,Pallekele International Cricket Stadium,98,72,,3,bowler,,0.0,8.17
AM Rahane,Khan Shaheb Osman Ali Stadium,193,213,23.0,3,batter,90.61,,
JE Root,"Darren Sammy National Cricket Stadium, St Lucia",1,4,0.0,2,batter,25.0,,
TC Bruce,Greenfield International Stadium,4,2,1.0,1,batter,200.0,,
K Klein,"Tribhuvan University International Cricket Ground, Kirtipur",11,17,1.0,2,batter,64.71,,
Syed Aziz,"Selangor Turf Club, Kuala Lumpur",76,60,,4,bowler,,6.0,7.6
JD Campbell,Seddon Park,28,76,3.0,1,batter,36.84,,
KK Ahmed,Central Broward Regional Park Stadium Turf Ground,30,30,,2,bowler,,1.0,6.0
JP Greaves,"Brian Lara Stadium, Tarouba, Trinidad",16,12,,1,bowler,,0.0,8.0
Mohammad Hafeez,Headingley,43,71,5.0,2,batter,60.56,,
S Muniandy,"Selangor Turf Club, Kuala Lumpur",77,78,7.0,4,batter,98.72,,
BG Lister,"Kennington Oval, London",4,7,0.0,1,batter,57.14,,
JM Anderson,Old Trafford,53,126,4.0,8,batter,42.06,,
Yuvraj Singh,Edgbaston,45,56,,2,bowler,,2.0,4.82
Sompal Kami,Multan Cricket Stadium,85,60,,1,bowler,,2.0,8.5
PRP Boissevain,"Tribhuvan University International Cricket Ground, Kirtipur",7,12,0.0,1,batter,58.33,,
Shoaib Akhtar,"Boland Bank Park, Paarl",26,42,,1,bowler,,3.0,3.71
C Overton,Adelaide Oval,116,210,,1,bowler,,4.0,3.31
MRJ Watt,"Maple Leaf North-West Ground, King City",14,18,1.0,1,batter,77.78,,
SF Mire,"Civil Service Cricket Club, Stormont",18,35,2.0,2,batter,51.43,,
WA Young,"Gaddafi Stadium, Lahore",72,92,10.0,6,batter,78.26,,
I Danladi,"Takashinga Sports Club, Highfield, Harare",89,83,12.0,3,batter,107.23,,
Abu Jayed,Castle Avenue,58,54,,1,bowler,,5.0,6.44
KC Sangakkara,Asgiriya Stadium,557,830,77.0,3,batter,67.11,,
MA Leask,Sheikh Zayed Stadium,58,46,7.0,1,batter,126.09,,
MRJ Watt,"Queens Sports Club, Bulawayo",203,228,,4,bowler,,6.0,5.34
Ahmed Raza,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),38,57,2.0,5,batter,66.67,,
PWH de Silva,"R Premadasa Stadium, Colombo",191,213,21.0,22,batter,89.67,,
GH Dockrell,Bready,1,1,0.0,1,batter,100.0,,
MJ Prior,Queens Sports Club,35,48,6.0,1,batter,72.92,,
IG Butler,University Oval,43,60,,1,bowler,,3.0,4.3
RJ Sidebottom,Galle International Stadium,95,204,,1,bowler,,1.0,2.79
MB Tambe,Kerava National Cricket Ground,245,200,,10,bowler,,9.0,7.35
CE McConchie,"Hagley Oval, Christchurch",1,2,0.0,1,batter,50.0,,
Aamer Jamal,Melbourne Cricket Ground,138,210,,1,bowler,,5.0,3.94
TL Moreki,"Seddon Park, Hamilton",4,18,1.0,1,batter,22.22,,
Mehran Khan,Sheikh Zayed Stadium,72,72,,3,bowler,,3.0,6.0
D Ndikubwimana,"TCA Oval, Blantyre",67,75,10.0,3,batter,89.33,,
RG Aga,"Civil Service Cricket Club, Stormont",5,6,1.0,1,batter,83.33,,
Asad Shafiq,Riverside Ground,19,10,4.0,1,batter,190.0,,
Asif Khan,"West End Park International Cricket Stadium, Doha",142,115,18.0,6,batter,123.48,,
RJ Trott,"Coolidge Cricket Ground, Antigua",21,24,,1,bowler,,2.0,5.25
AS Hansra,Feroz Shah Kotla,70,99,9.0,1,batter,70.71,,
I Udana,Pallekele International Cricket Stadium,173,117,,4,bowler,,3.0,8.87
D Paterson,"SuperSport Park, Centurion",116,204,,1,bowler,,6.0,3.41
J Kila,Central Broward Regional Park Stadium Turf Ground,20,24,2.0,3,batter,83.33,,
Ahmer Bin Nisar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),30,24,4.0,2,batter,125.0,,
K Rabada,Providence Stadium,16,28,0.0,2,batter,57.14,,
JG Bethell,"Sophia Gardens, Cardiff",49,36,,1,bowler,,1.0,8.17
Yasir Shah,Bay Oval,4,12,1.0,1,batter,33.33,,
AR McBrine,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),26,20,3.0,3,batter,130.0,,
PA van Meekeren,"Hazelaarweg, Rotterdam",15,33,0.0,3,batter,45.45,,
SMSM Senanayake,JSCA International Stadium Complex,0,2,0.0,1,batter,0.0,,
L Ronchi,Shere Bangla National Stadium,0,2,0.0,1,batter,0.0,,
AL Phehlukwayo,New Wanderers Stadium,107,82,,3,bowler,,4.0,7.83
Nasir Aziz,McLean Park,47,36,,1,bowler,,0.0,7.83
JJ Roy,Bay Oval,8,13,2.0,1,batter,61.54,,
R Shepherd,Sir Vivian Richards Stadium,67,48,,2,bowler,,0.0,8.38
Shakib Al Hasan,Buffalo Park,56,60,,1,bowler,,0.0,5.6
T Munyonga,"Queens Sports Club, Bulawayo",72,79,5.0,5,batter,91.14,,
S Dube,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",9,4,1.0,1,batter,225.0,,
SR Tendulkar,Vidarbha Cricket Association Ground,72,72,10.0,1,batter,100.0,,
RJ Nicol,Central Broward Regional Park Stadium Turf Ground,49,59,6.0,4,batter,83.05,,
AB Agarkar,Old Trafford,6,5,1.0,1,batter,120.0,,
KA Maharaj,Lord's,19,31,3.0,1,batter,61.29,,
DJ Bravo,Queenstown Events Centre,56,54,6.0,1,batter,103.7,,
Haris Rauf,"Trent Bridge, Nottingham",44,24,,1,bowler,,1.0,11.0
M Theekshana,Galle International Stadium,58,147,7.0,2,batter,39.46,,
R Shepherd,"Shere Bangla National Stadium, Mirpur",1,2,0.0,1,batter,50.0,,
Shan Masood,The Rose Bowl,23,81,2.0,2,batter,28.4,,
Adnan Idrees,"Mission Road Ground, Mong Kok, Hong Kong",56,30,,2,bowler,,2.0,11.2
PL Mommsen,ICC Academy,56,42,6.0,1,batter,133.33,,
MJ Santner,Himachal Pradesh Cricket Association Stadium,48,60,,2,bowler,,2.0,4.8
Rubel Hossain,Sheikh Zayed Stadium,1,3,0.0,1,batter,33.33,,
UDU Chandana,"Arnos Vale Ground, Kingstown, St Vincent",25,24,,1,bowler,,1.0,6.25
G Coetzee,"Mangaung Oval, Bloemfontein",2,8,0.0,1,batter,25.0,,
Mashrafe Mortaza,"Beausejour Stadium, Gros Islet",39,24,,1,bowler,,0.0,9.75
FA Allen,Bay Oval,35,18,,1,bowler,,1.0,11.67
P Utseya,"Sabina Park, Kingston",101,156,,3,bowler,,0.0,3.88
MJ Clarke,The Rose Bowl,210,265,18.0,4,batter,79.25,,
L Louwrens,"Amini Park, Port Moresby",124,214,11.0,4,batter,57.94,,
Imad Wasim,Headingley,82,62,11.0,2,batter,132.26,,
D Wiese,"Zayed Cricket Stadium, Abu Dhabi",95,84,,4,bowler,,3.0,6.79
NR Kumar,Hagley Oval,40,42,,1,bowler,,2.0,5.71
DL Piedt,Kingsmead,10,64,1.0,2,batter,15.62,,
TG Southee,Providence Stadium,39,36,,2,bowler,,2.0,6.5
RJ Peterson,Stadium Australia,4,4,0.0,1,batter,100.0,,
M Kaif,"Boland Bank Park, Paarl",9,21,0.0,1,batter,42.86,,
AM Fernando,"R Premadasa Stadium, Colombo",4,14,0.0,5,batter,28.57,,
T Stubbs,"Great Barrier Reef Arena, Mackay",75,92,4.0,2,batter,81.52,,
Z Khan,Vidarbha Cricket Association Ground,3,3,0.0,1,batter,100.0,,
H Masakadza,Seddon Park,142,116,17.0,2,batter,122.41,,
Q de Kock,Galle International Stadium,100,147,12.0,2,batter,68.03,,
T Amarmend,Sano International Cricket Ground,192,116,,7,bowler,,5.0,9.93
KDK Vithanage,Galle International Stadium,94,133,12.0,3,batter,70.68,,
MJ Hoggard,"Kennington Oval, London",97,145,,1,bowler,,4.0,4.01
Amjad Mahboob,ICC Academy Ground No 2,65,48,,2,bowler,,3.0,8.12
Mehrab Hossain jnr,Queens Sports Club,99,102,,2,bowler,,1.0,5.82
Shubman Gill,"Barsapara Cricket Stadium, Guwahati",70,60,11.0,1,batter,116.67,,
JA Duffy,"Eden Park, Auckland",3,5,0.0,2,batter,60.0,,
Azhar Mahmood,Newlands,1,5,0.0,1,batter,20.0,,
Saim Ayub,"The Wanderers Stadium, Johannesburg",101,94,15.0,1,batter,107.45,,
Nasir Hossain,Queens Sports Club,197,220,19.0,5,batter,89.55,,
RJ Nicol,Westpac Stadium,42,75,5.0,2,batter,56.0,,
SPD Smith,"Windsor Park, Roseau",18,18,,1,bowler,,1.0,6.0
BE Hendricks,Zahur Ahmed Chowdhury Stadium,3,4,0.0,1,batter,75.0,,
AR Patel,"St George's Park, Gqeberha",34,44,4.0,2,batter,77.27,,
HS Baidwan,Dubai International Cricket Stadium,106,90,,5,bowler,,4.0,7.07
RD Berrington,Bulawayo Athletic Club,188,211,19.0,3,batter,89.1,,
SO Hetmyer,Hagley Oval,2,4,0.0,1,batter,50.0,,
Ariful Haque,Zahur Ahmed Chowdhury Stadium,17,18,,1,bowler,,0.0,5.67
SK Raina,Edgbaston,138,228,,3,bowler,,2.0,3.63
KA Pollard,Eden Park,16,8,,1,bowler,,1.0,12.0
WB Rankin,Harare Sports Club,1,6,0.0,2,batter,16.67,,
IG Butler,R Premadasa Stadium,143,132,,4,bowler,,4.0,6.5
WPUJC Vaas,"Kensington Oval, Bridgetown",11,21,0.0,1,batter,52.38,,
K Pierre,"Narendra Modi Stadium, Ahmedabad",24,62,4.0,1,batter,38.71,,
Hasan Mahmud,Prairie View Cricket Complex,19,18,,1,bowler,,0.0,6.33
FH Allen,"National Stadium, Karachi",55,56,10.0,3,batter,98.21,,
MA Starc,"Brisbane Cricket Ground, Woolloongabba",166,200,19.0,9,batter,83.0,,
OH Agbomadzie,"Willowmoore Park, Benoni",40,37,3.0,3,batter,108.11,,
S Gill,"Takashinga Sports Club, Highfield, Harare",3,2,0.0,1,batter,150.0,,
Rubel Hossain,Pallekele International Cricket Stadium,40,24,,1,bowler,,1.0,10.0
A Bohara,Mulpani Cricket Ground,119,90,,4,bowler,,5.0,7.93
RL Chase,"National Cricket Stadium, St George's, Grenada",48,54,,1,bowler,,0.0,5.33
I Udana,Kennington Oval,77,78,,2,bowler,,3.0,5.92
TG Southee,Dubai International Cricket Stadium,47,45,6.0,4,batter,104.44,,
Yuvraj Singh,Zahur Ahmed Chowdhury Stadium,37,61,4.0,1,batter,60.66,,
N Deonarine,Providence Stadium,47,48,,1,bowler,,0.0,5.88
JO Holder,"Queen's Park Oval, Trinidad",92,78,,2,bowler,,1.0,7.08
JDP Oram,The Wanderers Stadium,108,208,,2,bowler,,1.0,3.12
Wasim Akram,"Newlands, Cape Town",37,60,,1,bowler,,1.0,3.7
Fanyan Mughal,Europa Sports Complex,117,102,,6,bowler,,4.0,6.88
Abbas Afridi,"Kingsmead, Durban",30,24,,1,bowler,,2.0,7.5
A Balbirnie,"The Village, Malahide",398,454,47.0,13,batter,87.67,,
BG Rogers,Harare Sports Club,32,18,,1,bowler,,0.0,10.67
MJ Lumb,"Sir Vivian Richards Stadium, North Sound",165,203,15.0,3,batter,81.28,,
Nadeem Ahmed,Sheikh Zayed Stadium,13,28,0.0,3,batter,46.43,,
BA Williams,"Marrara Cricket Ground, Darwin",32,60,,1,bowler,,0.0,3.2
IDR Bradshaw,Eden Park,10,59,0.0,1,batter,16.95,,
KL Rahul,"Wankhede Stadium, Mumbai",135,130,17.0,3,batter,103.85,,
Mashrafe Mortaza,Kennington Oval,200,198,,5,bowler,,1.0,6.06
Mohammed Siraj,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,11,0.0,1,batter,9.09,,
Chirag Suri,"Mannofield Park, Aberdeen",36,62,4.0,3,batter,58.06,,
ME Trescothick,Headingley,28,24,,1,bowler,,1.0,7.0
HGV Vare,"Bayuemas Oval, Kuala Lumpur",0,4,0.0,1,batter,0.0,,
R Shepherd,"National Stadium, Karachi",56,35,7.0,2,batter,160.0,,
Sabbir Rahman,"R.Premadasa Stadium, Khettarama",20,16,,1,bowler,,0.0,7.5
Yasir Ali Chowdhury,Dubai International Cricket Stadium,25,20,2.0,2,batter,125.0,,
PS Athavale,"Forthill, Dundee",70,111,11.0,4,batter,63.06,,
JOA Gordon,Tolerance Oval,44,42,,2,bowler,,4.0,6.29
JA Warrican,Shere Bangla National Stadium,95,177,,1,bowler,,3.0,3.22
S Thakor,"Bayuemas Oval, Kuala Lumpur",20,20,2.0,4,batter,100.0,,
Saber Zakhil,"Velden Cricket Ground, Latschach",85,42,,3,bowler,,0.0,12.14
Akash Deep,"MA Chidambaram Stadium, Chepauk, Chennai",17,30,4.0,1,batter,56.67,,
PHKD Mendis,St George's Park,34,24,,1,bowler,,0.0,8.5
YS Chahal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",15,30,,2,bowler,,2.0,3.0
Aminul Islam,Saurashtra Cricket Association Stadium,5,5,1.0,1,batter,100.0,,
SA Yadav,"Bay Oval, Mount Maunganui",111,51,18.0,1,batter,217.65,,
BN Cooper,"The Village, Malahide",137,105,19.0,4,batter,130.48,,
Usman Qadir,Gaddafi Stadium,76,66,,3,bowler,,4.0,6.91
SR Clark,Marrara Cricket Ground,46,114,,3,bowler,,5.0,2.42
K Rabada,Western Australia Cricket Association Ground,11,12,2.0,1,batter,91.67,,
G Snyman,"De Beers Diamond Oval, Kimberley",51,48,,1,bowler,,2.0,6.38
C Karunaratne,"GMHBA Stadium, South Geelong, Victoria",15,21,1.0,3,batter,71.43,,
MA Leask,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),40,48,,1,bowler,,1.0,5.0
M Labuschagne,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",66,151,11.0,1,batter,43.71,,
Hamid Mahmood,Koge Cricket Club,10,12,,1,bowler,,0.0,5.0
Yuvraj Singh,"MA Chidambaram Stadium, Chepauk",357,437,45.0,8,batter,81.69,,
TP Visee,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),285,162,48.0,7,batter,175.93,,
Sayed Monib,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),69,32,11.0,5,batter,215.62,,
SM Curran,Maharashtra Cricket Association Stadium,138,132,,3,bowler,,2.0,6.27
MJ Henry,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",40,51,,1,bowler,,3.0,4.71
K Bhurtel,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),154,114,18.0,3,batter,135.09,,
