player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
S Prasanna,Sydney Cricket Ground,9,11,1.0,1,batter,81.82,,
Z Bimenyimana,"Gymkhana Club Ground, Nairobi",134,145,,8,bowler,,7.0,5.54
Mohammed Siraj,"Narendra Modi Stadium, Ahmedabad",259,396,,6,bowler,,15.0,3.92
KA Pollard,Kennington Oval,123,109,,7,bowler,,4.0,6.77
JG Bethell,"Lord's, London",70,59,9.0,2,batter,118.64,,
TG Southee,"Sardar Patel Stadium, Motera",29,56,,1,bowler,,3.0,3.11
Junaid Siddique,Edgbaston,25,20,4.0,1,batter,125.0,,
Mehedi Hasan Miraz,"Sabina Park, Kingston, Jamaica",78,114,9.0,1,batter,68.42,,
D Johnson,Happy Valley Ground,61,54,,3,bowler,,1.0,6.78
S Ivetic,Europa Sports Complex,5,6,,1,bowler,,0.0,5.0
JR Hazlewood,Adelaide Oval,977,1891,,14,bowler,,53.0,3.1
RA Austin,"National Cricket Stadium, St George's",22,106,3.0,1,batter,20.75,,
Mohammad Amir,Kennington Oval,335,538,,6,bowler,,14.0,3.74
Abrar Ahmed,"Bay Oval, Mount Maunganui",1,4,0.0,1,batter,25.0,,
TM Head,"Bay Oval, Mount Maunganui",44,31,8.0,3,batter,141.94,,
Mehedi Hasan Miraz,Seddon Park,11,10,2.0,1,batter,110.0,,
CV Varun,"Saurashtra Cricket Association Stadium, Rajkot",1,2,0.0,1,batter,50.0,,
DM Bravo,"Darren Sammy National Cricket Stadium, St Lucia",35,44,4.0,2,batter,79.55,,
IK Gamantika,Udayana Cricket Ground,715,648,74.0,42,batter,110.34,,
SR Watson,St Lawrence Ground,43,60,,1,bowler,,3.0,4.3
G Motie,"Warner Park, Basseterre, St Kitts",180,192,,4,bowler,,3.0,5.62
TL Seifert,"University Oval, Dunedin",155,87,21.0,3,batter,178.16,,
SF Mire,Eden Park,29,30,,1,bowler,,0.0,5.8
DB Kotze,"Goodyear Park, Bloemfontein",25,29,1.0,1,batter,86.21,,
Zeeshan Ali,Estonian National Cricket and Rugby Field,56,60,4.0,5,batter,93.33,,
A Mishra,Sinhalese Sports Club Ground,98,149,11.0,1,batter,65.77,,
KIC Asalanka,"M Chinnaswamy Stadium, Bengaluru",18,36,3.0,2,batter,50.0,,
B Evans,"MA Chidambaram Stadium, Chepauk, Chennai",52,24,,1,bowler,,0.0,13.0
Z Khan,Old Trafford,20,19,3.0,1,batter,105.26,,
MA Wood,Kennington Oval,30,56,7.0,1,batter,53.57,,
B Bhandari,ICC Academy,56,90,6.0,4,batter,62.22,,
MM Patel,Kennington Oval,63,53,,1,bowler,,1.0,7.13
GD Elliott,"MA Chidambaram Stadium, Chepauk",0,5,0.0,1,batter,0.0,,
RG Sharma,Khan Shaheb Osman Ali Stadium,29,30,,1,bowler,,0.0,5.8
GJ Delany,"Sportpark Westvliet, The Hague",46,48,,2,bowler,,2.0,5.75
J Botha,Wankhede Stadium,3,3,0.0,1,batter,100.0,,
DR Tuffey,McLean Park,210,321,,3,bowler,,8.0,3.93
MC Sorensen,"Sabina Park, Kingston",10,21,0.0,2,batter,47.62,,
NG Smith,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",4,8,0.0,2,batter,50.0,,
Z Bimenyimana,"Wanderers Cricket Ground, Windhoek",126,90,,5,bowler,,2.0,8.4
NLTC Perera,"Brisbane Cricket Ground, Woolloongabba",17,16,2.0,3,batter,106.25,,
Wahab Riaz,Willowmoore Park,44,42,,1,bowler,,0.0,6.29
