player,cricsheet_id,unique_name,key_cricinfo,key_bcci,key_bigbash,batting_hand,bowling_style,role
Muhammad Usman,45642393,Muhammad Usman,974719.0,,,Data not available,Data not available,Data not available
Muhammad Usman,05b35689,Muhammad Usman (2),1204402.0,,,Data not available,Data not available,Data not available
Muhammad Usman,b7621723,Muhammad Usman (3),1319152.0,,,Data not available,Data not available,Data not available
Muhammad Usman,82a7dfdd,Muhammad Usman (4),1496499.0,,,Data not available,Data not available,Data not available
Muhammad Usman (3),,,,,,Data not available,Data not available,Data not available
Muhammad Wafiq,f104c434,Muhammad Wafiq,568452.0,,,Data not available,Data not available,Data not available
Muhammad Younis,41eb66fd,Muhammad Younis,1217471.0,,,Data not available,Data not available,Data not available
Muhammad Zohaib,8f75193e,Muhammad Zohaib,1486141.0,,,Data not available,Data not available,Data not available
Mujeeb-ur-Rehman,1a8f879b,Mujeeb-ur-Rehman,1058214.0,,,Data not available,Data not available,Data not available
Mujibur Ali,e88468b7,Mujibur Ali,1456606.0,,,Data not available,Data not available,Data not available
Mukesh Kumar,2cffab74,Mukesh Kumar,926851.0,AJCi0JJVJeXhyUziiOLIeiIicbGKO1Q,,Data not available,Data not available,Data not available
Munir Dar,04029c44,Munir Dar,220613.0,,,Data not available,Data not available,Data not available
Musa Ahmed,ec9db8a7,Musa Ahmed,1184439.0,,,Data not available,Data not available,Data not available
Musa Shaheen,6709b2de,Musa Shaheen,1153703.0,,,Data not available,Data not available,Data not available
Mushfiqur Rahim,a94e08ea,Mushfiqur Rahim,56029.0,,,Data not available,Data not available,Data not available
Mushfiqur Rahman,3fc3b204,Mushfiqur Rahman,55976.0,,,Data not available,Data not available,Data not available
Mushtaq Ahmed,0d08cbcb,Mushtaq Ahmed,41316.0,,,Data not available,Data not available,Data not available
Muslim Yar,37d8d19a,Muslim Yar,1183927.0,,,Data not available,Data not available,Data not available
Mustafizur Rahman,0a8fce53,Mustafizur Rahman,330902.0,,,Data not available,Data not available,Data not available
N Boje,6a0537aa,N Boje,44091.0,,,Data not available,Data not available,Data not available
N Burger,465aa633,N Burger,971349.0,,,Data not available,Data not available,Data not available
N Davin,72e361fe,N Davin,595790.0,,,Data not available,Data not available,Data not available
N Deonarine,caf1b14c,N Deonarine,51659.0,,,Data not available,Data not available,Data not available
N Dickwella,45963d9e,N Dickwella,429754.0,,,Data not available,Data not available,Data not available
N Dutta,e258a603,N Dutta,348135.0,,,Data not available,Data not available,Data not available
N Gnanapragasam,4f6d5f87,N Gnanapragasam,1455289.0,,,Data not available,Data not available,Data not available
N Hussain,f76ffa81,N Hussain,14325.0,,,Data not available,Data not available,Data not available
N M'shangwe,dd468277,N M'shangwe,392944.0,,,Data not available,Data not available,Data not available
N Madziva,4a36c370,N Madziva,453289.0,,,Data not available,Data not available,Data not available
N Mokoena,201facae,N Mokoena,1414819.0,,,Data not available,Data not available,Data not available
N Ncube,fd4afedb,N Ncube,333002.0,,,Data not available,Data not available,Data not available
N Nipiko,c498c510,N Nipiko,420513.0,,,Data not available,Data not available,Data not available
N Peter,212aeedd,N Peter,946483.0,,,Data not available,Data not available,Data not available
N Pokana,87a92b6b,N Pokana,646181.0,,,Data not available,Data not available,Data not available
N Pooran,3241e3fd,N Pooran,604302.0,,6763.0,Data not available,Data not available,Data not available
N Pradeep,2af838ee,N Pradeep,324358.0,,,Data not available,Data not available,Data not available
N Rana,fb2d1dda,N Rana,604527.0,hVUcKiLiyiOiXbJIJ0JJCee1OGAizQI,,Data not available,Data not available,Data not available
N Salekar,54403333,N Salekar,1460185.0,,,Data not available,Data not available,Data not available
N Senamontree,44e00a4c,N Senamontree,307745.0,,,Data not available,Data not available,Data not available
N Tanner,5f5efae1,N Tanner,1451389.0,,,Data not available,Data not available,Data not available
N Thushara,ee1b6c27,N Thushara,955235.0,,,Data not available,Data not available,Data not available
N Vanua,a36915ce,N Vanua,524253.0,,,Data not available,Data not available,Data not available
N Wagner,78adc879,N Wagner,233713.0,,,Data not available,Data not available,Data not available
NA Greenwood,7ca68967,NA Greenwood,1181708.0,,,Data not available,Data not available,Data not available
NA Karnik,835a58da,NA Karnik,1321990.0,,,Data not available,Data not available,Data not available
NA McSweeney,e94d2d50,NA McSweeney,1124290.0,,11520.0,Data not available,Data not available,Data not available
NA Statham,0db94786,NA Statham,24956.0,,,Data not available,Data not available,Data not available
NB Mahwire,0cc343b0,NB Mahwire,55628.0,,,Data not available,Data not available,Data not available
ND Laegsgaard,b0f2d3bd,ND Laegsgaard,1144657.0,,,Data not available,Data not available,Data not available
ND McKenzie,a830c083,ND McKenzie,46208.0,,,Data not available,Data not available,Data not available
NE Bonner,59ddd811,NE Bonner,314650.0,,,Data not available,Data not available,Data not available
NF Kelly,97f437ed,NF Kelly,559062.0,,,Data not available,Data not available,Data not available
NG Jones,c5326dd0,NG Jones,406308.0,,,Data not available,Data not available,Data not available
NG Smith,05b1aef8,NG Smith,959771.0,,,Data not available,Data not available,Data not available
NGRP Jayasuriya,127bc5ca,NGRP Jayasuriya,422871.0,,,Data not available,Data not available,Data not available
NJ Astle,99639abf,NJ Astle,36185.0,,,Data not available,Data not available,Data not available
NJ Ferraby,c149b9ca,NJ Ferraby,13312.0,,,Data not available,Data not available,Data not available
NJ Maddinson,44afbf2d,NJ Maddinson,333780.0,,5165.0,Data not available,Data not available,Data not available
NJ O'Brien,84826f48,NJ O'Brien,24289.0,,,Data not available,Data not available,Data not available
NK Patel,a2870fb7,Niraj Patel,32240.0,,,Data not available,Data not available,Data not available
NK Patel,c6e10e5c,NK Patel,532247.0,,,Data not available,Data not available,Data not available
NK Yadav,737e595d,NK Yadav,1058498.0,,,Data not available,Data not available,Data not available
NL McCullum,5673a3fc,NL McCullum,37749.0,,,Data not available,Data not available,Data not available
NLTC Perera,0f12f9df,NLTC Perera,233514.0,,,Data not available,Data not available,Data not available
NM Carter,7805af0f,NM Carter,44493.0,,,Data not available,Data not available,Data not available
NM Coulter-Nile,56ab442f,NM Coulter-Nile,261354.0,,5538.0,Data not available,Data not available,Data not available
NM Hauritz,8ea6e670,NM Hauritz,5593.0,,,Data not available,Data not available,Data not available
NM Lyon,96a6a7ad,NM Lyon,272279.0,,5144.0,Data not available,Data not available,Data not available
NM Odhiambo,c07a1f41,NM Odhiambo,308418.0,,,Data not available,Data not available,Data not available
NM Salonen,f5bd70f2,NM Salonen,1438224.0,,,Data not available,Data not available,Data not available
NMS Param,270b4de6,NMS Param,452540.0,,,Data not available,Data not available,Data not available
NN Odhiambo,753b5a2d,NN Odhiambo,238612.0,,,Data not available,Data not available,Data not available
NO Miller,ea3ffd1b,NO Miller,52622.0,,,Data not available,Data not available,Data not available
NP Kenjige,f7d267f7,NP Kenjige,1041679.0,,,Data not available,Data not available,Data not available
NP Mayavo,28fcb027,NP Mayavo,493753.0,,,Data not available,Data not available,Data not available
NR Kirton,6b75c2b1,NR Kirton,820685.0,,,Data not available,Data not available,Data not available
NR Kumar,b3bad3f2,NR Kumar,348129.0,,,Data not available,Data not available,Data not available
NR Welch,74c6c6e0,NR Welch,696145.0,,,Data not available,Data not available,Data not available
NRD Compton,e5437a99,NRD Compton,11718.0,,,Data not available,Data not available,Data not available
NRJ Croes,f427e63e,NRJ Croes,1191381.0,,,Data not available,Data not available,Data not available
NS Dhaliwal,cbabd6ad,NS Dhaliwal,817069.0,,,Data not available,Data not available,Data not available
NT Broom,a354c917,NT Broom,36581.0,,,Data not available,Data not available,Data not available
NT Ellis,9eb1455b,NT Ellis,826915.0,,12968.0,Data not available,Data not available,Data not available
NT Nyamhuri,943ca0cd,NT Nyamhuri,1409283.0,,,Data not available,Data not available,Data not available
NT Paranavitana,200f2761,NT Paranavitana,50181.0,,,Data not available,Data not available,Data not available
NT Pascal,d69c9b12,NT Pascal,230552.0,,,Data not available,Data not available,Data not available
NV Knight,d2f3829d,NV Knight,15913.0,,,Data not available,Data not available,Data not available
NW Bracken,4c61a0f9,NW Bracken,4185.0,,,Data not available,Data not available,Data not available
Nadeem Ahmed,023f6b02,Nadeem Ahmed,24230.0,,,Data not available,Data not available,Data not available
Nadeem Khan,a94eb41e,Nadeem Khan,42047.0,,,Data not available,Data not available,Data not available
Nadeem Khan,8a28c5d4,Nadeem Khan (2),1500478.0,,,Data not available,Data not available,Data not available
Naeem Islam,02e83ac5,Naeem Islam,56054.0,,,Data not available,Data not available,Data not available
Naeem Islam,185cbde3,Naeem Islam Jr.,509416.0,,,Data not available,Data not available,Data not available
Nafees Iqbal,c5b87d8c,Nafees Iqbal,56064.0,,,Data not available,Data not available,Data not available
Nahid Rana,5318ee68,Nahid Rana,1210511.0,,,Data not available,Data not available,Data not available
Najeeb Amar,25e26a23,Najeeb Amar,42106.0,,,Data not available,Data not available,Data not available
Namgay Thinley,9c333e40,Namgay Thinley,1167761.0,,,Data not available,Data not available,Data not available
Naseem Khushi,c63671e9,Naseem Khushi,1077310.0,,,Data not available,Data not available,Data not available
Naseem Shah,9c9af282,Naseem Shah,1158088.0,,,Data not available,Data not available,Data not available
Nasir Aziz,e70a0811,Nasir Aziz,447290.0,,,Data not available,Data not available,Data not available
Nasir Hossain,6eea0b32,Nasir Hossain,300618.0,,,Data not available,Data not available,Data not available
Nasir Jamshed,4c4a06fb,Nasir Jamshed,42321.0,,,Data not available,Data not available,Data not available
Nasum Ahmed,37654b75,Nasum Ahmed,348049.0,,,Data not available,Data not available,Data not available
Natim Hassam,c802af1c,Natim Hassam,1488000.0,,,Data not available,Data not available,Data not available
Nauman Ali,54c58a5e,Nauman Ali,238672.0,,,Data not available,Data not available,Data not available
Navdeep Saini,21d4e29b,NA Saini,700167.0,iVieOCQ1ibOJ0cyAJizeKJIhXUJILiG,,Data not available,Data not available,Data not available
Naved-ul-Hasan,33f28243,Naved-ul-Hasan,42272.0,,,Data not available,Data not available,Data not available
Naveed Ahmed,87609cbb,Naveed Ahmed,1156477.0,,,Data not available,Data not available,Data not available
Nay Lin Htun,5319f95b,Nay Lin Htun,1387416.0,,,Data not available,Data not available,Data not available
