player,phase,runs,balls,dots,boundaries,entity_type,strike_rate,dot_ball_pct,boundary_pct,wickets,economy
Imrul Kayes,Death,939,1191,562,79,batter,78.84,47.19,6.63,,
Imrul Kayes,Long-format,1726,3641,2785,240,batter,47.4,76.49,6.59,,
Imrul Kayes,Middle,752,1034,603,92,batter,72.73,58.32,8.9,,
Imrul Kayes,Powerplay,653,1058,749,98,batter,61.72,70.79,9.26,,
Inzamam-ul-Haq,Death,1687,1967,910,163,batter,85.77,46.26,8.29,,
Inzamam-ul-Haq,Long-format,1253,2328,1657,158,batter,53.82,71.18,6.79,,
Inzamam-ul-Haq,Middle,212,418,300,27,batter,50.72,71.77,6.46,,
Inzamam-ul-Haq,Powerplay,19,39,30,2,batter,48.72,76.92,5.13,,
Ishan Kishan,Death,505,449,204,65,batter,112.47,45.43,14.48,,
Ishan Kishan,Long-format,78,90,50,10,batter,86.67,55.56,11.11,,
Ishan Kishan,Middle,890,644,259,128,batter,138.2,40.22,19.88,,
Ishan Kishan,Powerplay,808,663,335,130,batter,121.87,50.53,19.61,,
J Blackwood,Death,12,18,8,1,batter,66.67,44.44,5.56,,
J Blackwood,Long-format,2890,5348,3937,385,batter,54.04,73.62,7.2,,
J Blackwood,Powerplay,11,23,16,1,batter,47.83,69.57,4.35,,
J Botha,Death,698,755,327,70,batter,92.45,43.31,9.27,,
J Botha,Long-format,83,238,190,9,batter,34.87,79.83,3.78,,
J Botha,Middle,87,100,44,8,batter,87.0,44.0,8.0,,
J Botha,Powerplay,9,7,4,2,batter,128.57,57.14,28.57,,
J Charles,Death,370,366,179,46,batter,101.09,48.91,12.57,,
J Charles,Middle,1117,1076,527,142,batter,103.81,48.98,13.2,,
J Charles,Powerplay,1460,1462,880,244,batter,99.86,60.19,16.69,,
J Little,Death,179,199,104,23,batter,89.95,52.26,11.56,,
J Little,Middle,25,29,12,3,batter,86.21,41.38,10.34,,
JA Duffy,Death,49,54,22,5,batter,90.74,40.74,9.26,,
JA Duffy,Long-format,78,104,72,14,batter,75.0,69.23,13.46,,
JA Duffy,Middle,3,7,4,0,batter,42.86,57.14,0.0,,
JA Rudolph,Death,631,867,441,53,batter,72.78,50.87,6.11,,
JA Rudolph,Long-format,1499,3374,2677,214,batter,44.43,79.34,6.34,,
JA Rudolph,Middle,161,285,204,24,batter,56.49,71.58,8.42,,
JA Rudolph,Powerplay,26,48,35,4,batter,54.17,72.92,8.33,,
JC Archer,Death,278,232,106,38,batter,119.83,45.69,16.38,,
JC Archer,Long-format,263,510,372,36,batter,51.57,72.94,7.06,,
JC Archer,Middle,25,23,13,3,batter,108.7,56.52,13.04,,
JC Buttler,Death,5559,4540,1701,635,batter,122.44,37.47,13.99,,
JC Buttler,Long-format,2878,5339,3881,369,batter,53.91,72.69,6.91,,
JC Buttler,Middle,2181,1733,615,255,batter,125.85,35.49,14.71,,
JC Buttler,Powerplay,1687,1125,454,273,batter,149.96,40.36,24.27,,
JD Ryder,Death,259,310,147,23,batter,83.55,47.42,7.42,,
JD Ryder,Long-format,1021,1858,1289,125,batter,54.95,69.38,6.73,,
JD Ryder,Middle,768,645,304,110,batter,119.07,47.13,17.05,,
JD Ryder,Powerplay,671,667,383,106,batter,100.6,57.42,15.89,,
JDP Oram,Death,1734,1783,848,194,batter,97.25,47.56,10.88,,
JDP Oram,Long-format,1150,2169,1573,146,batter,53.02,72.52,6.73,,
JDP Oram,Middle,275,250,95,31,batter,110.0,38.0,12.4,,
JDP Oram,Powerplay,16,12,6,2,batter,133.33,50.0,16.67,,
JDS Neesham,Death,1914,1652,664,222,batter,115.86,40.19,13.44,,
JDS Neesham,Long-format,700,1061,731,97,batter,65.98,68.9,9.14,,
JDS Neesham,Middle,612,539,224,73,batter,113.54,41.56,13.54,,
JDS Neesham,Powerplay,68,63,35,10,batter,107.94,55.56,15.87,,
JE Root,Death,5079,5477,2126,417,batter,92.73,38.82,7.61,,
JE Root,Long-format,13879,24093,16237,1540,batter,57.61,67.39,6.39,,
JE Root,Middle,2444,2797,1276,234,batter,87.38,45.62,8.37,,
JE Root,Powerplay,677,822,494,99,batter,82.36,60.1,12.04,,
JE Taylor,Death,331,355,187,44,batter,93.24,52.68,12.39,,
JE Taylor,Long-format,701,1122,829,108,batter,62.48,73.89,9.63,,
JE Taylor,Middle,38,31,17,5,batter,122.58,54.84,16.13,,
JEC Franklin,Death,1219,1442,668,114,batter,84.54,46.32,7.91,,
JEC Franklin,Long-format,634,1724,1373,72,batter,36.77,79.64,4.18,,
JEC Franklin,Middle,303,269,109,34,batter,112.64,40.52,12.64,,
JEC Franklin,Powerplay,38,59,33,3,batter,64.41,55.93,5.08,,
JH Kallis,Death,3158,3875,1662,229,batter,81.5,42.89,5.91,,
JH Kallis,Long-format,7342,14730,10696,876,batter,49.84,72.61,5.95,,
JH Kallis,Middle,1787,2259,1300,229,batter,79.11,57.55,10.14,,
JH Kallis,Powerplay,560,799,508,78,batter,70.09,63.58,9.76,,
JJ Bumrah,Death,101,175,119,13,batter,57.71,68.0,7.43,,
JJ Bumrah,Long-format,339,837,673,48,batter,40.5,80.41,5.73,,
JJ Roy,Death,1094,889,295,122,batter,123.06,33.18,13.72,,
JJ Roy,Long-format,187,317,237,27,batter,58.99,74.76,8.52,,
JJ Roy,Middle,2066,1777,749,279,batter,116.26,42.15,15.7,,
JJ Roy,Powerplay,2582,2443,1356,409,batter,105.69,55.51,16.74,,
JJ Smit,Death,1493,1601,837,169,batter,93.25,52.28,10.56,,
JJ Smit,Middle,718,554,181,76,batter,129.6,32.67,13.72,,
JJ Smit,Powerplay,41,47,28,6,batter,87.23,59.57,12.77,,
